"","OCCUR_DATE","OCCUR_TIME","BORO","PRECINCT","JURISDICTION_CODE","LOCATION_DESC","STATISTICAL_MURDER_FLAG","PERP_AGE_GROUP","PERP_SEX","PERP_RACE","VIC_AGE_GROUP","VIC_SEX","VIC_RACE","X_COORD_CD","Y_COORD_CD","Latitude","Longitude","Lon_Lat"
"26","03/29/2007","18:36:00","BRONX",41,0,"MULTI DWELL - APT BUILD","false","18-24","M","WHITE HISPANIC","65+","F","BLACK","1011307","235069",40.8118526970001,-73.902257649,"POINT (-73.90225764899996 40.81185269700006)"
"36","12/12/2016","22:18:00","BROOKLYN",79,2,"MULTI DWELL - PUBLIC HOUS","false","25-44","M","BLACK","25-44","M","BLACK","999215","189479",40.686748418,-73.946041603,"POINT (-73.94604160299998 40.68674841800004)"
"41","02/24/2008","1:49:00","BRONX",52,0,"MULTI DWELL - APT BUILD","false","18-24","M","BLACK","25-44","M","WHITE HISPANIC","1017542","255919",40.869058532,-73.8796301479999,"POINT (-73.87963014799993 40.86905853200005)"
"45","01/31/2009","20:10:00","BRONX",42,0,"MULTI DWELL - APT BUILD","false","25-44","M","BLACK","18-24","M","BLACK","1010713","240858",40.827743663,-73.904380654,"POINT (-73.90438065399997 40.82774366300004)"
"57","04/24/2008","18:45:00","BROOKLYN",70,0,"GROCERY/BODEGA","false","18-24","M","BLACK","18-24","M","BLACK","991557","168868",40.630185381,-73.973676658,"POINT (-73.973676658 40.63018538100005)"
"58","11/22/2007","18:01:00","BROOKLYN",73,0,"MULTI DWELL - PUBLIC HOUS","false","18-24","M","BLACK","18-24","M","BLACK","1009968","182502",40.6675734240001,-73.9072957659999,"POINT (-73.90729576599993 40.667573424000075)"
"64","06/02/2013","15:23:00","BROOKLYN",70,0,"MULTI DWELL - APT BUILD","false","25-44","M","BLACK","25-44","M","WHITE HISPANIC","995957","177431",40.6536842580001,-73.9578100109999,"POINT (-73.95781001099994 40.653684258000055)"
"68","06/05/2013","14:30:00","BRONX",48,0,"MULTI DWELL - APT BUILD","false","25-44","M","BLACK","25-44","M","WHITE HISPANIC","1015269","247736",40.846606943,-73.8878863159999,"POINT (-73.88788631599994 40.84660694300004)"
"78","08/26/2007","13:44:00","BRONX",43,0,"MULTI DWELL - APT BUILD","false","25-44","M","BLACK","25-44","F","BLACK","1018434","238489",40.8212149290001,-73.8764938699999,"POINT (-73.87649386999993 40.821214929000064)"
"80","08/06/2013","0:53:00","MANHATTAN",26,2,"MULTI DWELL - PUBLIC HOUS","false","<18","M","BLACK","18-24","M","BLACK","996014","236126",40.814787465,-73.9575019649999,"POINT (-73.95750196499995 40.814787465000045)"
