INCIDENT_KEY,OCCUR_DATE,OCCUR_TIME,BORO,PRECINCT,JURISDICTION_CODE,LOCATION_DESC,STATISTICAL_MURDER_FLAG,PERP_AGE_GROUP,PERP_SEX,PERP_RACE,VIC_AGE_GROUP,VIC_SEX,VIC_RACE,X_COORD_CD,Y_COORD_CD,Latitude,Longitude,Lon_Lat
74146165,2010-08-14,3:11:00,QUEENS,113,0,NA,FALSE,NA,NA,NA,25-44,M,BLACK,1046573,183057,40.66891477,-73.775341,POINT (-73.77534099699994 40.66891477200004)
66928846,2009-10-17,18:03:00,BROOKLYN,67,0,NA,TRUE,NA,NA,NA,45-64,M,BLACK,1003313,176413,40.65087729,-73.93130225,POINT (-73.93130224699998 40.65087729100002)
29114164,2007-05-18,23:00:00,BROOKLYN,75,0,NA,FALSE,NA,NA,NA,25-44,M,BLACK,1016292,176228,40.65033206,-73.88452948,POINT (-73.884529479 40.65033205800006)
85180336,2012-06-09,17:15:00,BROOKLYN,81,0,NA,FALSE,NA,NA,NA,25-44,M,BLACK,1005597,188673,40.68452304,-73.92303236,POINT (-73.92303235699995 40.68452304300007)
73405770,2010-06-27,4:14:00,BRONX,47,0,NA,FALSE,NA,NA,NA,25-44,M,BLACK,1023551,263366,40.88947351,-73.85786022,POINT (-73.85786021699995 40.88947350500007)
33397043,2007-07-26,23:05:00,QUEENS,110,0,NA,FALSE,NA,NA,NA,18-24,M,BLACK,1015948,210428,40.74420427,-73.88560823,POINT (-73.88560822899994 40.74420426600005)
185483181,2018-07-21,4:15:00,QUEENS,114,0,NA,FALSE,25-44,M,BLACK,25-44,M,BLACK,"1,003,963","214,344",40.75498753,-73.92884875,POINT (-73.92884875 40.75498753)
137804320,2014-07-20,1:40:00,QUEENS,113,0,NA,FALSE,NA,NA,NA,18-24,M,BLACK,1049943,182958,40.66861868,-73.76319392,POINT (-73.76319392399995 40.668618676000044)
82323802,2011-12-25,3:50:00,QUEENS,113,0,NA,FALSE,NA,NA,NA,18-24,M,BLACK,1040038,185061,40.67445888,-73.79888153,POINT (-73.79888153399997 40.67445888000003)
74568517,2010-09-11,21:40:00,BRONX,43,0,NA,FALSE,NA,NA,NA,18-24,M,BLACK,1018791,240921,40.82788869,-73.8751915,POINT (-73.87519150199995 40.82788868500006)
84075119,2012-04-05,22:46:00,BRONX,40,0,NA,FALSE,NA,NA,NA,18-24,M,BLACK,1006853,233369,40.80719919,-73.9183535,POINT (-73.91835350199995 40.807199186000055)
92386262,2013-08-30,4:14:00,QUEENS,110,0,NA,FALSE,NA,NA,NA,18-24,M,BLACK,1026084,216284,40.76023534,-73.84899259,POINT (-73.84899259199995 40.76023534300003)
75838650,2010-12-04,0:40:00,BRONX,40,0,NA,FALSE,NA,NA,NA,<18,M,BLACK,1005713,237323,40.81805466,-73.92245884,POINT (-73.92245883499999 40.81805465600007)
187159157,2018-09-03,21:52:00,BROOKLYN,67,0,NA,FALSE,NA,NA,NA,18-24,M,BLACK,"996,496","176,438",40.65095796,-73.95586928,POINT (-73.95586928 40.65095796)
74883745,2010-10-03,1:16:00,MANHATTAN,25,0,NA,FALSE,18-24,M,BLACK,25-44,M,BLACK,1001756,233153,40.8066179,-73.93676576,POINT (-73.93676575499995 40.806617895000045)
137018486,2014-05-31,23:00:00,BROOKLYN,75,0,NA,FALSE,NA,NA,NA,18-24,M,BLACK,1012795,183062,40.66910184,-73.89710292,POINT (-73.89710291699998 40.66910183600004)
91409803,2013-07-01,12:15:00,BRONX,47,0,NA,FALSE,NA,NA,NA,<18,M,BLACK,1027198,258757,40.87680626,-73.84469957,POINT (-73.84469957 40.87680626100007)
73921226,2010-07-31,5:32:00,BROOKLYN,73,0,NA,TRUE,NA,NA,NA,25-44,M,BLACK,1007380,180546,40.66221178,-73.91663143,POINT (-73.91663143499993 40.662211779000074)
137187529,2014-06-11,1:06:00,QUEENS,101,0,NA,FALSE,NA,NA,NA,18-24,M,BLACK,1053921,158769,40.60219487,-73.74910401,POINT (-73.74910400599998 40.602194868000026)
136918337,2014-05-24,18:48:00,QUEENS,113,0,NA,FALSE,NA,NA,NA,25-44,M,BLACK,1048337,184513,40.67289856,-73.76896836,POINT (-73.76896835899998 40.67289856000008)
183231196,2018-05-29,1:00:00,BROOKLYN,73,0,NA,FALSE,NA,NA,NA,18-24,M,BLACK,"1,008,850","179,962",40.66060487,-73.91133509,POINT (-73.91133509 40.66060487)
73498063,2010-07-02,9:23:00,QUEENS,103,0,NA,TRUE,18-24,M,BLACK,25-44,M,BLACK,1039125,192380,40.69455352,-73.80211335,POINT (-73.80211334999996 40.69455352400008)
95266278,2014-03-08,4:00:00,BROOKLYN,90,0,NA,FALSE,25-44,M,BLACK,25-44,M,BLACK,996475,197122,40.70773089,-73.95590745,POINT (-73.95590744599998 40.707730885000046)
177934249,2018-04-09,1:52:00,BROOKLYN,90,0,NA,FALSE,NA,NA,NA,18-24,M,BLACK,"1,000,697","197,070",40.70758132,-73.94067937,POINT (-73.94067937 40.70758132)
74063908,2010-08-09,17:50:00,BROOKLYN,77,0,NA,FALSE,<18,M,BLACK,18-24,M,BLACK,998807,184084,40.67194105,-73.9475244,POINT (-73.94752439499997 40.67194104600002)
28176154,2007-03-29,18:36:00,BRONX,41,0,MULTI DWELL - APT BUILD,FALSE,18-24,M,WHITE HISPANIC,65+,F,BLACK,1011307,235069,40.8118527,-73.90225765,POINT (-73.90225764899996 40.81185269700006)
166429319,2017-06-25,18:13:00,BRONX,41,0,NA,TRUE,25-44,M,BLACK,25-44,F,BLACK,1014691,234266,40.80963767,-73.89003655,POINT (-73.89003655299997 40.80963767400005)
69665449,2010-01-07,4:38:00,BROOKLYN,77,0,NA,FALSE,UNKNOWN,M,BLACK,25-44,M,BLACK,1005903,185476,40.67574726,-73.92193931,POINT (-73.92193931099996 40.67574726200007)
